Category,Context,Question,Expected_Answer,Model,Model_Answer,Cosine_Similarity,Exact_Match,F1_Score,,Average of Cosine Similarity of DistilBERT,Average of Cosine Similarity of BERT,Average of Cosine Similarity of RoBERTa,Average of Cosine Similarity of Sentence-BERT,Average of Cosine Similarity of LDA,,Average of Exact Match of DistilBERT,Average of Exact Match of BERT,Average of Exact Match of RoBERTa,Average of Exact Match of Sentence-BERT,Average of Exact Match of LDA,,Average of F1 Score of  DistilBERT,Average of F1 Score of  BERT,Average of F1 Score of  RoBERTa,Average of F1 Score of  Sentence-BERT,Average of F1 Score of  LDA
persons,"Albert Einstein, the German-born theoretical physicist, revolutionized modern science with his theory of relativity (E=mc²). Born in 1879, he initially struggled in school but later excelled in physics and mathematics. His 1905 'Annus Mirabilis' papers laid the foundation for quantum mechanics and special relativity. In 1921, he won the Nobel Prize for explaining the photoelectric effect. Fleeing Nazi Germany, he settled in the U.S., where he advocated for civil rights and nuclear disarmament. Despite his pacifism, his work indirectly contributed to atomic bomb development, which he later regretted. Einstein’s genius extended beyond science—he was a philosopher, musician, and global icon of intellectual curiosity. His famous quote, 'Imagination is more important than knowledge,' reflects his unconventional thinking. He died in 1955, leaving behind a legacy that continues to shape physics and inspire thinkers worldwide.",What is Einstein's most famous equation?,E=mc²,DistilBERT,E=mc²,1,1,1,,0.705942784,0.761427271,0.756846418,0.415019592,0.332974718,,0.27027027,0.297297297,0.288288288,0,0,,0.528133347,0.589311842,0.579169611,0.187254978,0.145105978
persons,"Albert Einstein, the German-born theoretical physicist, revolutionized modern science with his theory of relativity (E=mc²). Born in 1879, he initially struggled in school but later excelled in physics and mathematics. His 1905 'Annus Mirabilis' papers laid the foundation for quantum mechanics and special relativity. In 1921, he won the Nobel Prize for explaining the photoelectric effect. Fleeing Nazi Germany, he settled in the U.S., where he advocated for civil rights and nuclear disarmament. Despite his pacifism, his work indirectly contributed to atomic bomb development, which he later regretted. Einstein’s genius extended beyond science—he was a philosopher, musician, and global icon of intellectual curiosity. His famous quote, 'Imagination is more important than knowledge,' reflects his unconventional thinking. He died in 1955, leaving behind a legacy that continues to shape physics and inspire thinkers worldwide.",What is Einstein's most famous equation?,E=mc²,BERT,Imagination is more important than knowledge,0.17482351,0,0,,,,,,,,,,,,,,,,,,
persons,"Albert Einstein, the German-born theoretical physicist, revolutionized modern science with his theory of relativity (E=mc²). Born in 1879, he initially struggled in school but later excelled in physics and mathematics. His 1905 'Annus Mirabilis' papers laid the foundation for quantum mechanics and special relativity. In 1921, he won the Nobel Prize for explaining the photoelectric effect. Fleeing Nazi Germany, he settled in the U.S., where he advocated for civil rights and nuclear disarmament. Despite his pacifism, his work indirectly contributed to atomic bomb development, which he later regretted. Einstein’s genius extended beyond science—he was a philosopher, musician, and global icon of intellectual curiosity. His famous quote, 'Imagination is more important than knowledge,' reflects his unconventional thinking. He died in 1955, leaving behind a legacy that continues to shape physics and inspire thinkers worldwide.",What is Einstein's most famous equation?,E=mc²,RoBERTa,E=mc²,1,1,1,,,,,,,,,,,,,,,,,,
persons,"Albert Einstein, the German-born theoretical physicist, revolutionized modern science with his theory of relativity (E=mc²). Born in 1879, he initially struggled in school but later excelled in physics and mathematics. His 1905 'Annus Mirabilis' papers laid the foundation for quantum mechanics and special relativity. In 1921, he won the Nobel Prize for explaining the photoelectric effect. Fleeing Nazi Germany, he settled in the U.S., where he advocated for civil rights and nuclear disarmament. Despite his pacifism, his work indirectly contributed to atomic bomb development, which he later regretted. Einstein’s genius extended beyond science—he was a philosopher, musician, and global icon of intellectual curiosity. His famous quote, 'Imagination is more important than knowledge,' reflects his unconventional thinking. He died in 1955, leaving behind a legacy that continues to shape physics and inspire thinkers worldwide.",What is Einstein's most famous equation?,E=mc²,Sentence-BERT,"Albert Einstein, the German-born theoretical physicist, revolutionized modern science with his theory of relativity (E=mc²)",0.4137656,0,0,,,,,,,,,,,,,,,,,,
persons,"Albert Einstein, the German-born theoretical physicist, revolutionized modern science with his theory of relativity (E=mc²). Born in 1879, he initially struggled in school but later excelled in physics and mathematics. His 1905 'Annus Mirabilis' papers laid the foundation for quantum mechanics and special relativity. In 1921, he won the Nobel Prize for explaining the photoelectric effect. Fleeing Nazi Germany, he settled in the U.S., where he advocated for civil rights and nuclear disarmament. Despite his pacifism, his work indirectly contributed to atomic bomb development, which he later regretted. Einstein’s genius extended beyond science—he was a philosopher, musician, and global icon of intellectual curiosity. His famous quote, 'Imagination is more important than knowledge,' reflects his unconventional thinking. He died in 1955, leaving behind a legacy that continues to shape physics and inspire thinkers worldwide.",What is Einstein's most famous equation?,E=mc²,LDA,"His famous quote, 'Imagination is more important than knowledge,' reflects his unconventional thinking",0.12696329,0,0,,,,,,,,,,,,,,,,,,
persons,"Albert Einstein, the German-born theoretical physicist, revolutionized modern science with his theory of relativity (E=mc²). Born in 1879, he initially struggled in school but later excelled in physics and mathematics. His 1905 'Annus Mirabilis' papers laid the foundation for quantum mechanics and special relativity. In 1921, he won the Nobel Prize for explaining the photoelectric effect. Fleeing Nazi Germany, he settled in the U.S., where he advocated for civil rights and nuclear disarmament. Despite his pacifism, his work indirectly contributed to atomic bomb development, which he later regretted. Einstein’s genius extended beyond science—he was a philosopher, musician, and global icon of intellectual curiosity. His famous quote, 'Imagination is more important than knowledge,' reflects his unconventional thinking. He died in 1955, leaving behind a legacy that continues to shape physics and inspire thinkers worldwide.",Why did Einstein regret part of his scientific legacy?,His work indirectly aided atomic bomb development,DistilBERT,his pacifism,0.24894053,0,0.222222222,,,,,,,,,,,,,,,,,,
persons,"Albert Einstein, the German-born theoretical physicist, revolutionized modern science with his theory of relativity (E=mc²). Born in 1879, he initially struggled in school but later excelled in physics and mathematics. His 1905 'Annus Mirabilis' papers laid the foundation for quantum mechanics and special relativity. In 1921, he won the Nobel Prize for explaining the photoelectric effect. Fleeing Nazi Germany, he settled in the U.S., where he advocated for civil rights and nuclear disarmament. Despite his pacifism, his work indirectly contributed to atomic bomb development, which he later regretted. Einstein’s genius extended beyond science—he was a philosopher, musician, and global icon of intellectual curiosity. His famous quote, 'Imagination is more important than knowledge,' reflects his unconventional thinking. He died in 1955, leaving behind a legacy that continues to shape physics and inspire thinkers worldwide.",Why did Einstein regret part of his scientific legacy?,His work indirectly aided atomic bomb development,BERT,atomic bomb development,0.7186377,0,0.6,,,,,,,,,,,,,,,,,,
persons,"Albert Einstein, the German-born theoretical physicist, revolutionized modern science with his theory of relativity (E=mc²). Born in 1879, he initially struggled in school but later excelled in physics and mathematics. His 1905 'Annus Mirabilis' papers laid the foundation for quantum mechanics and special relativity. In 1921, he won the Nobel Prize for explaining the photoelectric effect. Fleeing Nazi Germany, he settled in the U.S., where he advocated for civil rights and nuclear disarmament. Despite his pacifism, his work indirectly contributed to atomic bomb development, which he later regretted. Einstein’s genius extended beyond science—he was a philosopher, musician, and global icon of intellectual curiosity. His famous quote, 'Imagination is more important than knowledge,' reflects his unconventional thinking. He died in 1955, leaving behind a legacy that continues to shape physics and inspire thinkers worldwide.",Why did Einstein regret part of his scientific legacy?,His work indirectly aided atomic bomb development,RoBERTa,atomic bomb development,0.7186377,0,0.6,,,,,,,,,,,,,,,,,,
persons,"Albert Einstein, the German-born theoretical physicist, revolutionized modern science with his theory of relativity (E=mc²). Born in 1879, he initially struggled in school but later excelled in physics and mathematics. His 1905 'Annus Mirabilis' papers laid the foundation for quantum mechanics and special relativity. In 1921, he won the Nobel Prize for explaining the photoelectric effect. Fleeing Nazi Germany, he settled in the U.S., where he advocated for civil rights and nuclear disarmament. Despite his pacifism, his work indirectly contributed to atomic bomb development, which he later regretted. Einstein’s genius extended beyond science—he was a philosopher, musician, and global icon of intellectual curiosity. His famous quote, 'Imagination is more important than knowledge,' reflects his unconventional thinking. He died in 1955, leaving behind a legacy that continues to shape physics and inspire thinkers worldwide.",Why did Einstein regret part of his scientific legacy?,His work indirectly aided atomic bomb development,Sentence-BERT,"Einstein’s genius extended beyond science—he was a philosopher, musician, and global icon of intellectual curiosity",0.42267394,0,0,,,,,,,,,,,,,,,,,,
persons,"Albert Einstein, the German-born theoretical physicist, revolutionized modern science with his theory of relativity (E=mc²). Born in 1879, he initially struggled in school but later excelled in physics and mathematics. His 1905 'Annus Mirabilis' papers laid the foundation for quantum mechanics and special relativity. In 1921, he won the Nobel Prize for explaining the photoelectric effect. Fleeing Nazi Germany, he settled in the U.S., where he advocated for civil rights and nuclear disarmament. Despite his pacifism, his work indirectly contributed to atomic bomb development, which he later regretted. Einstein’s genius extended beyond science—he was a philosopher, musician, and global icon of intellectual curiosity. His famous quote, 'Imagination is more important than knowledge,' reflects his unconventional thinking. He died in 1955, leaving behind a legacy that continues to shape physics and inspire thinkers worldwide.",Why did Einstein regret part of his scientific legacy?,His work indirectly aided atomic bomb development,LDA,"Albert Einstein, the German-born theoretical physicist, revolutionized modern science with his theory of relativity (E=mc²)",0.4140587,0,0.090909091,,,,,,,,,,,,,,,,,,
